real_timestamp,real_datetime,simulation_time_s,relative_real_time_s
1757020600.528203,2025-09-04 23:16:40.528203,0.0,0.9997625350952148
1757020600.5291293,2025-09-04 23:16:40.529129,1.0,1.0006887912750244
1757020601.626706,2025-09-04 23:16:41.626706,1.047,2.0982654094696045
1757020602.640983,2025-09-04 23:16:42.640983,1.058,3.1125426292419434
1757020602.6438177,2025-09-04 23:16:42.643818,1.069,3.115377187728882
1757020603.648364,2025-09-04 23:16:43.648364,1.08,4.1199235916137695
1757020603.6495142,2025-09-04 23:16:43.649514,2.0,4.1210737228393555
1757020604.7568836,2025-09-04 23:16:44.756884,2.047,5.228443145751953
1757020605.809597,2025-09-04 23:16:45.809597,2.058,6.281156539916992
1757020605.8166273,2025-09-04 23:16:45.816627,2.069,6.28818678855896
1757020606.82116,2025-09-04 23:16:46.821160,2.08,7.292719602584839
1757020606.821684,2025-09-04 23:16:46.821684,3.0,7.293243408203125
1757020607.865641,2025-09-04 23:16:47.865641,3.048,8.33720064163208
1757020607.877675,2025-09-04 23:16:47.877675,3.059,8.349234580993652
1757020607.9343762,2025-09-04 23:16:47.934376,3.07,8.405935764312744
1757020608.9527135,2025-09-04 23:16:48.952713,3.081,9.424273014068604
1757020608.9538012,2025-09-04 23:16:48.953801,4.0,9.425360679626465
1757020610.003226,2025-09-04 23:16:50.003226,4.048,10.474785566329956
1757020610.0612853,2025-09-04 23:16:50.061285,4.059,10.53284478187561
1757020611.0878599,2025-09-04 23:16:51.087860,4.07,11.559419393539429
1757020611.089489,2025-09-04 23:16:51.089489,4.081,11.56104850769043
1757020611.0903602,2025-09-04 23:16:51.090360,5.0,11.561919689178467
1757020612.1845899,2025-09-04 23:16:52.184590,5.047,12.65614938735962
1757020613.23303,2025-09-04 23:16:53.233030,5.058,13.704589605331421
1757020613.2359219,2025-09-04 23:16:53.235922,5.069,13.707481384277344
1757020614.2409577,2025-09-04 23:16:54.240958,5.08,14.712517261505127
1757020614.2420733,2025-09-04 23:16:54.242073,6.0,14.713632822036743
1757020615.3454885,2025-09-04 23:16:55.345489,6.047,15.817048072814941
1757020616.403311,2025-09-04 23:16:56.403311,6.058,16.874870538711548
1757020616.4062533,2025-09-04 23:16:56.406253,6.069,16.87781286239624
1757020616.4807577,2025-09-04 23:16:56.480758,6.08,16.952317237854004
1757020616.4818194,2025-09-04 23:16:56.481819,7.0,16.953378915786743
1757020617.5146751,2025-09-04 23:16:57.514675,7.047,17.986234664916992
1757020618.6045558,2025-09-04 23:16:58.604556,7.058,19.076115369796753
1757020619.618324,2025-09-04 23:16:59.618324,7.069,20.08988356590271
1757020619.619516,2025-09-04 23:16:59.619516,7.08,20.09107542037964
1757020619.620844,2025-09-04 23:16:59.620844,8.0,20.092403411865234
1757020620.7337713,2025-09-04 23:17:00.733771,8.047,21.205330848693848
1757020621.7749667,2025-09-04 23:17:01.774967,8.058,22.24652624130249
1757020621.7808456,2025-09-04 23:17:01.780846,8.069,22.252405166625977
1757020622.8705175,2025-09-04 23:17:02.870517,8.08,23.342077016830444
1757020622.8715637,2025-09-04 23:17:02.871564,9.0,23.343123197555542
1757020623.9845653,2025-09-04 23:17:03.984565,9.047,24.456124782562256
1757020625.0363514,2025-09-04 23:17:05.036351,9.058,25.50791096687317
1757020625.0433292,2025-09-04 23:17:05.043329,9.069,25.514888763427734
1757020625.1221654,2025-09-04 23:17:05.122165,9.08,25.593724966049194
1757020625.1235766,2025-09-04 23:17:05.123577,10.0,25.595136165618896
1757020626.164612,2025-09-04 23:17:06.164612,10.047,26.636171579360962
1757020627.1833491,2025-09-04 23:17:07.183349,10.058,27.654908657073975
1757020627.1897018,2025-09-04 23:17:07.189702,10.069,27.661261320114136
1757020628.1938531,2025-09-04 23:17:08.193853,10.08,28.665412664413452
1757020628.19456,2025-09-04 23:17:08.194560,11.0,28.66611957550049
1757020629.237789,2025-09-04 23:17:09.237789,11.048,29.709348440170288
1757020629.242007,2025-09-04 23:17:09.242007,11.059,29.713566541671753
1757020629.3064675,2025-09-04 23:17:09.306468,11.07,29.778027057647705
1757020630.3314865,2025-09-04 23:17:10.331486,11.081,30.803045988082886
1757020630.3322809,2025-09-04 23:17:10.332281,12.0,30.803840398788452
1757020631.9638264,2025-09-04 23:17:11.963826,12.047,32.435385942459106
1757020631.965262,2025-09-04 23:17:11.965262,12.059,32.43682146072388
1757020631.9662209,2025-09-04 23:17:11.966221,12.069,32.43778038024902
1757020631.967077,2025-09-04 23:17:11.967077,12.08,32.43863654136658
1757020631.9677765,2025-09-04 23:17:11.967777,13.0,32.43933606147766
1757020631.9817352,2025-09-04 23:17:11.981735,13.047,32.45329475402832
1757020631.9822054,2025-09-04 23:17:11.982205,13.059,32.45376491546631
1757020631.982492,2025-09-04 23:17:11.982492,13.069,32.45405149459839
