msg_id,sender,receiver,size_B,time_send_ms,time_receive_ms,delay_ms
node4_131,node4,node3,100,26166,26248,82
node4_132,node4,node0,100,26781,26833,52
node4_133,node4,node1,100,26781,26840,59
node4_134,node4,node2,100,26781,26851,70
node4_135,node4,node3,100,26781,26862,81
node4_136,node4,node0,100,27124,27177,53
node4_137,node4,node1,100,27124,27184,60
node4_138,node4,node2,100,27124,27195,71
node4_139,node4,node3,100,27124,27206,82
node4_140,node4,node0,100,27177,27230,53
node4_141,node4,node1,100,27177,27237,60
node4_142,node4,node2,100,27177,27248,71
node4_143,node4,node3,100,27177,27259,82
node4_144,node4,node0,100,28963,29017,54
node4_145,node4,node1,100,28963,29023,60
node4_146,node4,node2,100,28963,29034,71
node4_147,node4,node3,100,28963,29069,106
node4_148,node4,node0,100,29776,29829,53
node4_149,node4,node1,100,29776,29836,60
node4_150,node4,node2,100,29776,29847,71
node4_151,node4,node3,100,29776,29882,106
node4_152,node4,node0,100,30804,30857,53
node4_153,node4,node1,100,30804,30864,60
node4_154,node4,node2,100,30804,30876,72
node4_155,node4,node3,100,30804,30910,106
node4_156,node4,node0,100,31009,31061,52
node4_157,node4,node1,100,31009,31068,59
node4_158,node4,node2,100,31009,31079,70
node4_159,node4,node3,100,31009,31114,105
node4_160,node4,node0,100,35908,35961,53
node4_161,node4,node1,100,35908,35967,59
node4_162,node4,node2,100,35908,35978,70
node4_163,node4,node3,100,35908,36013,105
node4_164,node4,node0,100,37874,37927,53
node4_165,node4,node1,100,37874,37934,60
node4_166,node4,node2,100,37874,37945,71
node4_167,node4,node3,100,37874,37980,106
node4_168,node4,node0,100,38003,38056,53
node4_169,node4,node1,100,38003,38063,60
node4_170,node4,node2,100,38003,38074,71
node4_171,node4,node3,100,38003,38109,106
node4_172,node4,node0,100,38407,38459,52
node4_173,node4,node1,100,38407,38466,59
node4_174,node4,node2,100,38407,38477,70
node4_175,node4,node3,100,38407,38512,105
node4_176,node4,node0,100,39685,39737,52
node4_177,node4,node1,100,39685,39744,59
node4_178,node4,node2,100,39685,39755,70
node4_179,node4,node3,100,39685,39790,105
node4_180,node4,node0,100,40927,40980,53
node4_181,node4,node1,100,40927,40986,59
node4_182,node4,node2,100,40927,40998,71
node4_183,node4,node3,100,40927,41032,105
node4_184,node4,node0,100,43683,43735,52
node4_185,node4,node1,100,43683,43742,59
node4_186,node4,node2,100,43683,43753,70
node4_187,node4,node3,100,43683,43788,105
node4_188,node4,node0,100,44232,44285,53
node4_189,node4,node1,100,44232,44292,60
node4_190,node4,node2,100,44232,44303,71
node4_191,node4,node3,100,44232,44338,106
node4_192,node4,node0,100,46004,46057,53
node4_193,node4,node1,100,46004,46064,60
node4_194,node4,node2,100,46004,46075,71
node4_195,node4,node3,100,46004,46110,106
node4_196,node4,node0,100,47113,47166,53
node4_197,node4,node1,100,47113,47172,59
node4_198,node4,node2,100,47113,47183,70
node4_199,node4,node3,100,47113,47218,105
node4_200,node4,node0,100,47475,47528,53
node4_201,node4,node1,100,47475,47535,60
node4_202,node4,node2,100,47475,47546,71
node4_203,node4,node3,100,47475,47581,106
node4_204,node4,node0,100,48361,48414,53
node4_205,node4,node1,100,48361,48421,60
node4_206,node4,node2,100,48361,48432,71
node4_207,node4,node3,100,48361,48467,106
node4_208,node4,node0,100,50502,50555,53
node4_209,node4,node1,100,50502,50562,60
node4_210,node4,node2,100,50502,50573,71
node4_211,node4,node3,100,50502,50608,106
node4_212,node4,node0,100,52374,52427,53
node4_213,node4,node1,100,52374,52434,60
node4_214,node4,node2,100,52374,52446,72
node4_215,node4,node3,100,52374,52480,106
node4_216,node4,node0,100,53078,53132,54
node4_217,node4,node1,100,53078,53138,60
node4_218,node4,node2,100,53078,53149,71
node4_219,node4,node3,100,53078,53184,106
node4_220,node4,node0,100,53967,54020,53
node4_221,node4,node1,100,53967,54027,60
node4_222,node4,node2,100,53967,54038,71
node4_223,node4,node3,100,53967,54073,106
node4_224,node4,node0,100,54020,54073,53
node4_225,node4,node1,100,54020,54080,60
node4_226,node4,node2,100,54020,54091,71
node4_227,node4,node3,100,54020,54126,106
node4_228,node4,node0,100,54280,54333,53
node4_229,node4,node1,100,54280,54340,60
node4_230,node4,node2,100,54280,54351,71
node4_231,node4,node3,100,54280,54386,106
node4_232,node4,node0,100,55876,55929,53
node4_233,node4,node1,100,55876,55935,59
node4_234,node4,node2,100,55876,55946,70
node4_235,node4,node3,100,55876,55981,105
node4_236,node4,node0,100,56411,56463,52
node4_237,node4,node1,100,56411,56470,59
node4_238,node4,node2,100,56411,56481,70
node4_239,node4,node3,100,56411,56516,105
node4_240,node4,node0,100,56601,56653,52
node4_241,node4,node1,100,56601,56660,59
node4_242,node4,node2,100,56601,56672,71
node4_243,node4,node3,100,56601,56706,105
node4_244,node4,node0,100,57397,57449,52
node4_245,node4,node1,100,57397,57456,59
node4_246,node4,node2,100,57397,57467,70
node4_247,node4,node3,100,57397,57502,105
node4_248,node4,node0,100,58611,58663,52
node4_249,node4,node1,100,58611,58670,59
node4_250,node4,node2,100,58611,58681,70
node4_251,node4,node3,100,58611,58716,105
node4_252,node4,node0,100,59734,59788,54
node4_253,node4,node1,100,59734,59794,60
node4_254,node4,node2,100,59734,59805,71
node4_255,node4,node3,100,59734,59840,106
