name,Lat,Long
Buchenweg 2,53.6013059196666,8.62290141197047
Buchenweg 4,53.601230768664,8.62288920526826
Buchenweg 1,53.6014154769129,8.62249782787875
Buchenweg 3,53.6012706077664,8.62246578528545
Buchenweg 5,53.6011320761803,8.62241619555774
Buchenweg 6,53.6010370052211,8.62287165813384
Buchenweg 7,53.6009835843025,8.62250393122985
Buchenweg 9,53.6008477681035,8.62245052690769
Buchenweg 11a,53.6006214068015,8.62236050247892
Buchenweg 11,53.6006431375391,8.62261531738749
Buchenweg 8,53.6008151721508,8.62297999261593
Buchenweg 13,53.6004665749723,8.62273433273401
Buchenweg 15,53.6003171753008,8.62297846677815
Buchenweg 17,53.6001944860846,8.62325235465893
Buchenweg 19,53.6001881478866,8.62346749778533
Buchenweg 21,53.6001700387443,8.62369179593838
Buchenweg 23,53.6001292931458,8.62392677495588
Buchenweg 25,53.6001365368106,8.62414191808228
Buchenweg 25a,53.5998105706631,8.62410072046233
Buchenweg 27,53.6001854315158,8.62435400953313
Buchenweg 29,53.6002279879724,8.62457525601063
Buchenweg 29a,53.6001591732552,8.62462866033279
Buchenweg 31,53.6003565625382,8.62485143264807
Buchenweg 33,53.6005539508989,8.62513218679883
Buchenweg 35,53.6007105932993,8.62532139068304
Buchenweg 37,53.6008608970218,8.62538852754518
Buchenweg 39,53.6009949022994,8.62544650938067
Buchenweg 41,53.601122569094,8.62548618116284
Buchenweg 10,53.6006671318823,8.6230768833147
Buchenweg 12,53.6004842312622,8.62328897476555
Buchenweg 14,53.6004308096445,8.62368264091173
Buchenweg 16,53.6004262823857,8.62416480564892
Buchenweg 18,53.6004606895407,8.6245142224996
Buchenweg 20,53.6006073723608,8.62480718335257
Buchenweg 22,53.6007812180066,8.62500554226343
Buchenweg 24,53.6010084838916,8.62504368820783
Buchenweg 26,53.601094500541,8.62506962745002
