real_timestamp,real_datetime,simulation_time_s,relative_real_time_s
1755174679.2891345,2025-08-14 14:31:19.289135,0.0,0.9990808963775635
1755174679.2900407,2025-08-14 14:31:19.290041,1.0,0.9999871253967285
1755174679.4881518,2025-08-14 14:31:19.488152,1.053,1.1980981826782227
1755174683.5145128,2025-08-14 14:31:23.514513,1.059,5.224459171295166
1755174683.5174284,2025-08-14 14:31:23.517428,1.07,5.227374792098999
1755174683.5185773,2025-08-14 14:31:23.518577,1.081,5.2285237312316895
1755174683.5193753,2025-08-14 14:31:23.519375,2.0,5.229321718215942
1755174687.5763612,2025-08-14 14:31:27.576361,2.053,9.286307573318481
1755174687.576828,2025-08-14 14:31:27.576828,2.059,9.286774396896362
1755174687.5771964,2025-08-14 14:31:27.577196,2.07,9.287142753601074
1755174687.577447,2025-08-14 14:31:27.577447,2.081,9.28739333152771
1755174687.5778105,2025-08-14 14:31:27.577811,3.0,9.28775691986084
1755174687.8228972,2025-08-14 14:31:27.822897,3.052,9.532843589782715
1755174691.8500004,2025-08-14 14:31:31.850000,3.058,13.559946775436401
1755174691.8504755,2025-08-14 14:31:31.850476,3.069,13.56042194366455
1755174691.8508027,2025-08-14 14:31:31.850803,3.08,13.560749053955078
1755174691.8510513,2025-08-14 14:31:31.851051,4.0,13.560997724533081
1755174695.9013956,2025-08-14 14:31:35.901396,4.053,17.611341953277588
1755174695.9027805,2025-08-14 14:31:35.902781,4.059,17.61272692680359
1755174695.9035473,2025-08-14 14:31:35.903547,4.07,17.61349368095398
1755174695.9042263,2025-08-14 14:31:35.904226,4.081,17.61417269706726
1755174695.9049087,2025-08-14 14:31:35.904909,5.0,17.61485505104065
1755174696.112391,2025-08-14 14:31:36.112391,5.052,17.82233738899231
1755174700.1420093,2025-08-14 14:31:40.142009,5.058,21.85195565223694
1755174700.1432636,2025-08-14 14:31:40.143264,5.069,21.853209972381592
1755174700.1440783,2025-08-14 14:31:40.144078,5.08,21.854024648666382
1755174700.1448908,2025-08-14 14:31:40.144891,6.0,21.85483717918396
1755174712.2489352,2025-08-14 14:31:52.248935,6.053,33.95888161659241
1755174712.2501628,2025-08-14 14:31:52.250163,6.059,33.9601092338562
1755174712.251338,2025-08-14 14:31:52.251338,6.07,33.96128439903259
1755174712.2521415,2025-08-14 14:31:52.252141,6.081,33.962087869644165
1755174712.252895,2025-08-14 14:31:52.252895,7.0,33.962841510772705
1755174716.3614645,2025-08-14 14:31:56.361465,7.053,38.07141089439392
1755174716.3626952,2025-08-14 14:31:56.362695,7.059,38.07264161109924
1755174716.3635154,2025-08-14 14:31:56.363515,7.07,38.07346177101135
1755174716.3642068,2025-08-14 14:31:56.364207,7.081,38.07415318489075
1755174716.364868,2025-08-14 14:31:56.364868,8.0,38.074814319610596
1755174722.53497,2025-08-14 14:32:02.534970,8.052,44.2449164390564
1755174722.535458,2025-08-14 14:32:02.535458,8.058,44.24540448188782
1755174722.5356908,2025-08-14 14:32:02.535691,8.069,44.24563717842102
1755174722.587413,2025-08-14 14:32:02.587413,8.08,44.297359466552734
1755174722.5877714,2025-08-14 14:32:02.587771,9.0,44.297717809677124
1755174725.6211946,2025-08-14 14:32:05.621195,9.052,47.331140995025635
1755174725.622261,2025-08-14 14:32:05.622261,9.058,47.332207441329956
1755174725.622591,2025-08-14 14:32:05.622591,9.069,47.33253741264343
1755174725.70482,2025-08-14 14:32:05.704820,9.08,47.41476631164551
1755174725.7057586,2025-08-14 14:32:05.705759,10.0,47.41570496559143
1755174728.7423282,2025-08-14 14:32:08.742328,10.052,50.452274560928345
1755174728.743869,2025-08-14 14:32:08.743869,10.058,50.45381546020508
1755174728.7446673,2025-08-14 14:32:08.744667,10.069,50.45461368560791
1755174728.7973785,2025-08-14 14:32:08.797379,10.08,50.50732493400574
1755174728.798355,2025-08-14 14:32:08.798355,11.0,50.50830149650574
1755174731.8350453,2025-08-14 14:32:11.835045,11.052,53.54499173164368
1755174731.8365436,2025-08-14 14:32:11.836544,11.058,53.54648995399475
1755174731.8374805,2025-08-14 14:32:11.837481,11.069,53.54742693901062
1755174731.900587,2025-08-14 14:32:11.900587,11.08,53.610533475875854
1755174731.901865,2025-08-14 14:32:11.901865,12.0,53.61181139945984
1755174738.0105646,2025-08-14 14:32:18.010565,12.052,59.720510959625244
1755174738.0118015,2025-08-14 14:32:18.011801,12.058,59.72174787521362
1755174738.0130308,2025-08-14 14:32:18.013031,12.069,59.72297716140747
1755174738.1177762,2025-08-14 14:32:18.117776,12.08,59.82772254943848
1755174738.1188319,2025-08-14 14:32:18.118832,13.0,59.82877826690674
1755174741.1572547,2025-08-14 14:32:21.157255,13.052,62.86720108985901
1755174741.1585958,2025-08-14 14:32:21.158596,13.058,62.868542194366455
1755174741.1594658,2025-08-14 14:32:21.159466,13.069,62.8694121837616
1755174741.2222767,2025-08-14 14:32:21.222277,13.08,62.932223081588745
1755174741.2233937,2025-08-14 14:32:21.223394,14.0,62.933340072631836
1755174744.2600548,2025-08-14 14:32:24.260055,14.052,65.97000122070312
1755174744.261344,2025-08-14 14:32:24.261344,14.058,65.97129034996033
1755174744.262289,2025-08-14 14:32:24.262289,14.069,65.97223544120789
1755174752.3724165,2025-08-14 14:32:32.372416,14.08,74.08236289024353
1755174752.3728812,2025-08-14 14:32:32.372881,15.0,74.0828275680542
1755174757.4136398,2025-08-14 14:32:37.413640,15.053,79.12358617782593
1755174757.4141717,2025-08-14 14:32:37.414172,15.059,79.1241180896759
1755174757.414472,2025-08-14 14:32:37.414472,15.07,79.12441849708557
1755174757.4147604,2025-08-14 14:32:37.414760,15.081,79.1247067451477
1755174757.4150293,2025-08-14 14:32:37.415029,16.0,79.12497568130493
1755174763.4534,2025-08-14 14:32:43.453400,16.053,85.16334629058838
1755174763.4541714,2025-08-14 14:32:43.454171,16.059,85.16411781311035
1755174763.454508,2025-08-14 14:32:43.454508,16.07,85.16445446014404
1755174763.4547925,2025-08-14 14:32:43.454792,16.081,85.16473889350891
1755174763.4550436,2025-08-14 14:32:43.455044,17.0,85.1649899482727
1755174767.5210786,2025-08-14 14:32:47.521079,17.053,89.23102498054504
1755174767.5216525,2025-08-14 14:32:47.521652,17.059,89.23159885406494
1755174767.5219705,2025-08-14 14:32:47.521971,17.07,89.23191690444946
1755174767.5223348,2025-08-14 14:32:47.522335,17.081,89.23228120803833
1755174767.5226593,2025-08-14 14:32:47.522659,18.0,89.23260569572449
1755174767.7812283,2025-08-14 14:32:47.781228,18.052,89.49117469787598
1755174771.8078735,2025-08-14 14:32:51.807873,18.058,93.51781988143921
1755174771.8093889,2025-08-14 14:32:51.809389,18.069,93.51933526992798
1755174771.8103933,2025-08-14 14:32:51.810393,18.08,93.52033972740173
1755174771.8115096,2025-08-14 14:32:51.811510,19.0,93.52145600318909
1755174775.8696122,2025-08-14 14:32:55.869612,19.053,97.57955861091614
1755174775.8712146,2025-08-14 14:32:55.871215,19.059,97.58116102218628
1755174775.8722568,2025-08-14 14:32:55.872257,19.07,97.58220314979553
1755174775.8731751,2025-08-14 14:32:55.873175,19.081,97.58312153816223
1755174775.8740692,2025-08-14 14:32:55.874069,20.0,97.58401560783386
1755174776.123168,2025-08-14 14:32:56.123168,20.052,97.83311438560486
1755174780.1539512,2025-08-14 14:33:00.153951,20.058,101.86389756202698
1755174780.1556447,2025-08-14 14:33:00.155645,20.069,101.86559104919434
1755174780.1565971,2025-08-14 14:33:00.156597,20.08,101.86654353141785
1755174780.1574914,2025-08-14 14:33:00.157491,21.0,101.86743783950806
1755174784.2183988,2025-08-14 14:33:04.218399,21.053,105.92834520339966
1755174784.2189484,2025-08-14 14:33:04.218948,21.059,105.92889475822449
1755174784.219245,2025-08-14 14:33:04.219245,21.07,105.92919135093689
1755174784.2195177,2025-08-14 14:33:04.219518,21.081,105.92946410179138
1755174784.2197857,2025-08-14 14:33:04.219786,22.0,105.92973208427429
1755174784.485686,2025-08-14 14:33:04.485686,22.052,106.19563245773315
1755174788.5114791,2025-08-14 14:33:08.511479,22.058,110.22142553329468
1755174788.5131578,2025-08-14 14:33:08.513158,22.069,110.22310423851013
1755174788.5141497,2025-08-14 14:33:08.514150,22.08,110.2240960597992
1755174788.515179,2025-08-14 14:33:08.515179,23.0,110.22512531280518
1755174792.6241307,2025-08-14 14:33:12.624131,23.053,114.33407711982727
1755174792.6257842,2025-08-14 14:33:12.625784,23.059,114.33573055267334
1755174792.627006,2025-08-14 14:33:12.627006,23.07,114.33695244789124
1755174792.6281993,2025-08-14 14:33:12.628199,23.081,114.33814573287964
1755174792.6292138,2025-08-14 14:33:12.629214,24.0,114.33916020393372
1755174792.8477507,2025-08-14 14:33:12.847751,24.052,114.557697057724
1755174796.8718274,2025-08-14 14:33:16.871827,24.058,118.58177375793457
1755174796.8724062,2025-08-14 14:33:16.872406,24.069,118.58235263824463
1755174796.872718,2025-08-14 14:33:16.872718,24.08,118.5826644897461
1755174796.8730068,2025-08-14 14:33:16.873007,25.0,118.58295321464539
1755174802.913794,2025-08-14 14:33:22.913794,25.053,124.6237404346466
1755174802.9157677,2025-08-14 14:33:22.915768,25.059,124.62571406364441
1755174802.9169574,2025-08-14 14:33:22.916957,25.07,124.62690377235413
1755174802.9180686,2025-08-14 14:33:22.918069,25.081,124.62801504135132
1755174802.9191604,2025-08-14 14:33:22.919160,26.0,124.62910676002502
1755174808.9583802,2025-08-14 14:33:28.958380,26.053,130.66832661628723
1755174808.9605327,2025-08-14 14:33:28.960533,26.059,130.67047905921936
1755174808.96126,2025-08-14 14:33:28.961260,26.07,130.6712064743042
1755174808.9615805,2025-08-14 14:33:28.961581,26.081,130.6715269088745
1755174808.9618855,2025-08-14 14:33:28.961885,27.0,130.67183184623718
1755174813.0092683,2025-08-14 14:33:33.009268,27.053,134.71921467781067
1755174813.0110989,2025-08-14 14:33:33.011099,27.059,134.721045255661
1755174813.011886,2025-08-14 14:33:33.011886,27.07,134.72183227539062
1755174813.0122075,2025-08-14 14:33:33.012208,27.081,134.72215390205383
1755174813.0125234,2025-08-14 14:33:33.012523,28.0,134.72246980667114
1755174813.261498,2025-08-14 14:33:33.261498,28.052,134.97144436836243
1755174817.2914736,2025-08-14 14:33:37.291474,28.058,139.00142002105713
1755174817.2921243,2025-08-14 14:33:37.292124,28.069,139.0020706653595
1755174817.2925565,2025-08-14 14:33:37.292557,28.08,139.0025029182434
1755174817.2929406,2025-08-14 14:33:37.292941,29.0,139.00288701057434
1755174821.3444953,2025-08-14 14:33:41.344495,29.053,143.05444169044495
1755174821.3461628,2025-08-14 14:33:41.346163,29.059,143.05610918998718
1755174821.3474548,2025-08-14 14:33:41.347455,29.076,143.05740118026733
1755174821.3486366,2025-08-14 14:33:41.348637,29.081,143.05858302116394
1755174821.349745,2025-08-14 14:33:41.349745,30.0,143.05969142913818
1755174827.5211341,2025-08-14 14:33:47.521134,30.052,149.23108053207397
1755174827.5235069,2025-08-14 14:33:47.523507,30.058,149.2334532737732
1755174827.5250509,2025-08-14 14:33:47.525051,30.069,149.23499727249146
1755174827.629915,2025-08-14 14:33:47.629915,30.08,149.33986139297485
1755174827.631349,2025-08-14 14:33:47.631349,31.0,149.34129548072815
1755174830.669536,2025-08-14 14:33:50.669536,31.052,152.3794825077057
1755174830.6715646,2025-08-14 14:33:50.671565,31.058,152.38151097297668
1755174830.6730533,2025-08-14 14:33:50.673053,31.069,152.3829996585846
1755174830.7273853,2025-08-14 14:33:50.727385,31.08,152.43733167648315
1755174830.7288113,2025-08-14 14:33:50.728811,32.0,152.43875765800476
1755174833.7644584,2025-08-14 14:33:53.764458,32.052,155.47440481185913
1755174833.7664623,2025-08-14 14:33:53.766462,32.058,155.47640872001648
1755174833.7679086,2025-08-14 14:33:53.767909,32.069,155.4778549671173
1755174833.8211617,2025-08-14 14:33:53.821162,32.08,155.53110814094543
1755174833.8227515,2025-08-14 14:33:53.822752,33.0,155.53269791603088
1755174836.8595288,2025-08-14 14:33:56.859529,33.052,158.5694751739502
1755174836.8613856,2025-08-14 14:33:56.861386,33.058,158.57133197784424
1755174836.862791,2025-08-14 14:33:56.862791,33.069,158.57273745536804
1755174836.914489,2025-08-14 14:33:56.914489,33.08,158.6244354248047
1755174836.9160504,2025-08-14 14:33:56.916050,34.0,158.62599682807922
1755174839.9455678,2025-08-14 14:33:59.945568,34.052,161.6555142402649
1755174839.9461777,2025-08-14 14:33:59.946178,34.058,161.65612411499023
